lookup_id,vendor,canonical_product_family,template_option,product_type,cell_type,density_class,application_hint,lookup_priority,lookup_terms,preferred_documents,document_priority,official_vendor_url,vendor_product_url,source_domain,domain_approved,decision_nodes,mapping_status,alias_policy,search_strategy,document_collection_status,knowledge_status,replacement_for,priority,active,notes
accufoam_af20,AccuFoam,AccuFoam Closed Cell 2.0,AF2.0,foam,,,Closed Cell SPF,HIGH,AccuFoam AF2.0 PDS;AccuFoam closed cell 2.0 application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://accufoam.com/,https://accufoam.com/,accufoam.com,True,"[""insulation_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
accufoam_af1,AccuFoam,AccuFoam Open Cell AAF1,AF1,foam,,,Open Cell SPF,HIGH,AccuFoam AAF1 PDS;AccuFoam open cell AAF1 application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://accufoam.com/,https://accufoam.com/,accufoam.com,True,"[""insulation_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
basf_enertite,BASF,ENERTITE,BASF 0.5 lb,,open_cell,0.5 lb,wall/building insulation,high,BASF ENERTITE open cell spray foam PDS application guide,PDS; application guide; SDS,,https://www.basf.com,,www.basf.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Likely BASF open-cell system.
basf_walltite,BASF,WALLTITE,BASF 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,high,BASF WALLTITE closed cell spray foam PDS application guide,PDS; application guide; SDS,,https://www.basf.com,,www.basf.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Likely BASF closed-cell system.
demilec_heatlok,Demilec,Heatlok,Demilec 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,high,Demilec Heatlok closed cell spray foam PDS application guide,PDS; application guide; SDS,,https://www.huntsmanbuildingsolutions.com,,www.huntsmanbuildingsolutions.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Demilec product line now associated with Huntsman Building Solutions.
demilec_sealection_500,Demilec,Sealection 500,Demilec 0.5 lb,,open_cell,0.5 lb,wall/building insulation,high,Demilec Sealection 500 open cell spray foam PDS application guide,PDS; application guide; SDS,,https://www.huntsmanbuildingsolutions.com,,www.huntsmanbuildingsolutions.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Known Demilec open-cell family; verify current documentation.
enverge_easyseal_05,Enverge,Enverge EasySeal .5,Gaco 0.5 lb,foam,,,Open Cell SPF,HIGH,Enverge EasySeal .5 PDS;EasySeal .5 open cell spray foam technical data sheet;Gaco 0.5 lb replacement EasySeal,PDS;Application Guide;SDS;Evaluation Report,PDS>Application Guide>Evaluation Report>SDS,https://www.envergesprayfoam.com/,https://www.envergesprayfoam.com/Our-Products/open-cell-spray-foam-insulation/EasySeal.html,www.envergesprayfoam.com,True,"[""insulation_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,Legacy Gaco 0.5 lb Open Cell,20,True,Legacy Gaco label now points to Enverge EasySeal .5
enverge_onepass,Enverge,Enverge OnePass,Gaco 2.0 lb,foam,,,Closed Cell SPF,HIGH,Enverge OnePass PDS;OnePass closed cell spray foam technical data sheet;Gaco 2.0 lb replacement OnePass,PDS;Application Guide;SDS;Evaluation Report,PDS>Application Guide>Evaluation Report>SDS,https://www.envergesprayfoam.com/,https://www.envergesprayfoam.com/Our-Products/closed-cell-spray-foam-insulation-products/onepass.html,www.envergesprayfoam.com,True,"[""insulation_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,Legacy Gaco 2.0 lb Closed Cell,20,True,Legacy Gaco label now points to Enverge OnePass
gaco_gaco_open_cell_wall_foam,Gaco,Gaco open-cell wall foam,Gaco 0.5 lb,,open_cell,0.5 lb,wall/building insulation,high,Gaco 0.5 lb open cell wall foam PDS GacoWallFoam open cell,PDS; application guide; SDS,,https://gaco.com/,,gaco.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Need identify actual Gaco open-cell product family.
gaco_e5320,Gaco,GacoFlex E5320,Gaco E-5320,primer,,,Epoxy Primer,HIGH,GacoFlex E5320 PDS;GacoFlex E5320 application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://gaco.com/product/gacoflex-e5320/,https://gaco.com/product/gacoflex-e5320/,gaco.com,True,"[""roofing_primer""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
gaco_s20,Gaco,GacoFlex S20,Gaco Silicone,coating,,,Silicone Roof Coating,HIGH,GacoFlex S20 PDS;GacoFlex S20 application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://gaco.com/,https://gaco.com/,gaco.com,True,"[""roofing_coating_system""]",needs_review,manual_alias_only,exact_product,pending,not_started,,20,True,Split from generic silicone
gaco_s42,Gaco,GacoFlex S42,Gaco Silicone,coating,,,Silicone Roof Coating,HIGH,GacoFlex S42 PDS;GacoFlex S42 application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://gaco.com/,https://gaco.com/,gaco.com,True,"[""roofing_coating_system""]",needs_review,manual_alias_only,exact_product,pending,not_started,,20,True,Split from generic silicone
